Data,CARGA_N,CARGA_NE,CARGA_S,CARGA_SE
2000-01-31,2397.6440860190323,5666.025268815028,6726.535147847661,24463.186155910753
2000-02-29,2409.0354885032757,5780.173563216566,6887.4002873542095,25588.788505743734
2000-03-31,2407.972849459637,5839.950537632339,6837.28530913789,25470.855024176733
2000-04-30,2417.5701388863054,5766.368055553166,6678.98361110918,25352.026111107683
2000-05-31,2461.7998655888173,5839.978360213064,6649.087903223965,25457.516129028874
2000-06-30,2487.2652777749304,5697.507222219986,6704.430555553472,25655.76138888525
2000-07-31,2441.674327954194,5633.048924728266,6590.129341395995,25299.997311824245
2000-08-31,2564.4685483844355,5783.961424728495,6719.182795696842,26006.388306448105
2000-09-30,2586.580361109167,5882.005277775722,6561.038333330846,26045.447569440857
2000-10-31,2565.567442797241,6149.965948853768,6767.717362042934,27083.63566621455
2000-11-30,2562.2658194419305,6221.260833330694,6825.49666666457,26253.36291666347
2000-12-31,2540.1472311802686,6093.435080643091,6894.44629032035,26041.55573924387
2001-01-31,2521.8621236532663,6098.418682793857,7218.119448922124,26625.976155910215
2001-02-28,2508.249851187961,6243.7284226173515,7470.295982140089,27539.327872020254
2001-03-31,2523.299596771613,6186.359811826076,7737.785618276895,27824.662997308413
2001-04-30,2543.3476666640695,5970.960555553777,7160.868472219653,27213.964999996802
2001-05-31,2607.1947042985485,5881.934408600108,6742.805645158522,25055.138884405365
2001-06-30,2539.352249997278,4546.772361108514,6417.524486108389,20512.823736108014
2001-07-31,2220.612244621075,4472.270430105228,6399.323790319946,19852.428198921923
2001-08-31,2150.6390322555376,4596.129838707272,6667.845967739153,20395.285255373077
2001-09-30,2065.40252777525,4753.094736108458,6430.786805552736,20646.84029166343
2001-10-31,2097.9597981130955,4895.152436067873,6624.54808882607,20980.51734723766
2001-11-30,2058.807333330764,4961.087527775791,6753.236333330431,21504.025111107625
2001-12-31,2027.0576612881184,4981.31813171824,6604.43801075004,21349.00794354516
2002-01-31,2169.8346774168012,4918.066639782863,6691.205604759059,22719.87901888691
2002-02-28,2179.5302083305805,5247.679568450461,6813.441801065373,23452.702201901026
2002-03-31,2306.499327953938,5378.061424729556,7129.678010893643,25133.201222967422
2002-04-30,2495.5651388860556,5567.267712494903,6905.071291481931,25772.850000174847
2002-05-31,2282.0798387071236,5512.953235212876,6579.321209752137,24774.471236474597
2002-06-30,2297.157499997333,5424.859941774958,6527.417264369583,24626.898485620568
2002-07-31,2369.904973115578,5557.560376341855,6502.236671730618,24237.84665084027
2002-08-31,2439.609005373602,5667.050873654086,6567.43080618492,25149.892407246116
2002-09-30,2347.178611108639,5847.867263886611,6394.498596903625,24970.46791697547
2002-10-31,2267.899462363347,6085.979837180525,6806.036169264731,27126.008131800645
2002-11-30,2316.6929068126983,6189.364728788192,6751.209318068638,26420.591864118956
2002-12-31,2588.390188169597,6100.107553761559,6650.011330941895,25636.160886790054
2003-01-31,2611.2639784921103,6152.367849460308,7029.964207650336,25693.743682124747
2003-02-28,2682.506547617009,5958.596770830923,7360.902841755745,27507.62498561533
2003-03-31,2712.742069890739,5833.338293008441,7080.428077799395,26389.860645308927
2003-04-30,2774.4471666650416,5987.993486108861,6804.045541520139,26235.746102914472
2003-05-31,2846.966801073454,5919.620443545968,6597.389990421465,25354.74973134277
2003-06-30,2862.79249999825,5734.50225971993,6572.195530151416,25326.086792060945
2003-07-31,2745.871975804812,5783.527768815269,6656.895134361707,25308.790121004706
2003-08-31,2610.0823387074597,5922.726545697177,6566.8190859196775,25465.21360224243
2003-09-30,2666.0672361090833,6153.352513886875,6773.092972582764,26242.625832962985
2003-10-31,2687.090807535155,6333.543055179677,6885.51882915354,26865.87119775455
2003-11-30,2872.800902776653,6312.730347219889,6945.771583722708,26804.534812100872
2003-12-31,2829.3022177406856,6388.4169489227825,6831.291061753172,26662.936975871384
2004-01-31,2866.9680107515187,5975.136408600309,7205.9185354695965,26275.93167957441
2004-02-29,2846.257040228319,5939.701566089425,7395.327801603463,26801.951092064857
2004-03-31,2922.584005374825,6199.619462363898,7639.801935723683,27520.84330675176
2004-04-30,2924.740694443125,6209.768041664319,7421.001541175223,27323.33718103717
2004-05-31,2988.827150536398,6168.843561825645,6961.253656040402,26606.29612889597
2004-06-30,2997.599722221083,5999.995305553361,7053.376861686889,26579.448449414405
2004-07-31,2991.4813172034947,6037.203279567876,7071.695994690001,26657.822412289257
2004-08-31,3014.820564515618,6221.522728492446,7112.18946232871,27178.628670725902
2004-09-30,3042.8419444436254,6442.202333330945,7229.752138692334,28426.388314075597
2004-10-31,3033.2868279562767,6598.931626341975,7058.347768418628,27771.49564555007
2004-11-30,3026.5531015289844,6705.214339357761,7251.712253404771,28195.26787454107
2004-12-31,3022.0211021498517,6734.777849460174,7451.366586123293,27695.443427307757
2005-01-31,2982.2497311819225,6701.019838707271,7812.905927558656,27829.38264770038
2005-02-28,2991.0452380938095,6666.215565474153,8037.174687259003,28324.55217285033
2005-03-31,3041.241196235188,6774.052862900914,8175.206571962097,29329.88920759801
2005-04-30,3043.0954305537775,6731.558736108722,7701.986277888181,29611.05501376878
2005-05-31,3112.129986557742,6551.292862900981,7313.975174243925,27852.867245101144
2005-06-30,3126.6582777766253,6391.425999997695,7396.14643059132,27921.099897176595
2005-07-31,3026.746465052957,6409.1274462340325,7124.242688181089,27217.23512094886
2005-08-31,3134.2067069883874,6571.489099459772,7288.748936754556,28499.198489311642
2005-09-30,3169.6790277770415,6797.345180553237,7199.52711388575,28242.867409718456
2005-10-31,3165.207009420296,6894.327261101131,7331.752537009044,29030.82092058864
2005-11-30,3207.0220430548056,6968.125483331097,7615.225805552667,28312.46225832975
2005-12-31,3215.385994622648,6884.550658599959,7724.7945967720425,28163.798381716693
2006-01-31,3241.997755374422,6932.5311021480775,8115.45401881531,29410.097405910594
2006-02-28,3285.1058928551342,7020.882708331161,8280.37275297442,30149.908315472498
2006-03-31,3305.5036021483197,6984.02620967543,8410.283091395646,30646.279650534016
2006-04-30,3262.093152775347,6718.555097220097,7658.643416664667,28994.795361107484
2006-05-31,3351.2433736538437,6643.104717739355,7663.540441971425,28369.73352150207
2006-06-30,3396.6110138869585,6526.424069441791,7682.02362499807,28456.18194444043
2006-07-31,3324.3004166652286,6544.464508061814,7612.420040320901,28707.099362899527
2006-08-31,3437.600026880551,6829.500913976049,7741.264879030511,29679.788158598378
2006-09-30,3412.2621805549857,7018.9774624974725,7499.726763886736,29081.098654162888
2006-10-31,3420.3519798379975,7196.412827954247,7762.9908602129835,29255.400047038856
2006-11-30,3394.624283726467,7238.483212792892,7831.321112654673,29837.740055629125
2006-12-31,3401.5428400529977,7279.089922040093,7980.379529567904,29725.43664650191
2007-01-31,3420.175685482675,7439.262647846921,8349.928965051815,29960.04143816812
2007-02-28,3313.0496130943898,7080.921622021518,8529.340178569317,30970.750520829184
2007-03-31,3390.017579299503,7157.694651878871,8767.481841395498,32676.08855644753
2007-04-30,3481.11723610925,7124.764486108639,8177.315638886153,31350.059611108016
2007-05-31,3537.5002016110348,7052.038669352582,7919.78838709379,29881.48794354468
2007-06-30,3457.954263888028,6953.365874997487,7838.014923608069,29542.484680551835
2007-07-31,3434.061854838199,7028.227647846881,7910.572840050524,29573.757177415755
2007-08-31,3526.1639381712366,7056.676317201936,8035.019932792312,30566.27726343761
2007-09-30,3552.6057083324445,7248.92220833061,7889.677387497583,31166.000011107626
2007-10-31,3567.1072409145895,7550.375464331157,8154.119133240524,32010.172476442785
2007-11-30,3533.2868055549443,7695.366444441527,8097.937763886097,31251.060236107347
2007-12-31,3495.2240591387367,7494.323870965538,8353.204556448885,31206.315524189988
2008-01-31,3467.7649865580643,7463.3382876326605,8754.515524190538,31190.806470426265
2008-02-29,3533.272831894727,7497.817764365963,9004.060114939928,31503.222449708923
2008-03-31,3556.943293008737,7385.1495026866,8769.5739516109,32245.936115587756
2008-04-30,3605.8828194422085,7473.691666665083,8537.26197222029,32252.528083329627
2008-05-31,3641.9629435464385,7466.56900537453,8008.607745965443,30832.63399193156
2008-06-30,3633.8113749985837,7227.848791664848,8278.49803333007,31221.2113472186
2008-07-31,3624.531102149355,7160.856612901357,8373.806719083037,31335.820053759948
2008-08-31,3693.5868548376347,7373.481290320161,8239.528836018926,32320.352137092916
2008-09-30,3741.492611109889,7661.386902774985,8239.577888885638,32087.30624999635
2008-10-31,3749.680574695666,7816.542913860148,8344.763755043943,32958.74395423582
2008-11-30,3692.1904305542503,7835.025433330847,8352.763874996472,30936.54510832979
2008-12-31,3619.0291666653634,7353.98135752449,8248.51172042707,28845.6335080607
2009-01-31,3569.1293951588304,7294.526236557016,8344.88953085742,29582.489462362002
2009-02-28,3483.245342259643,7366.751294640938,8933.436866069136,31328.500431544093
2009-03-31,3570.1453360190994,7612.018870965551,9095.49118682578,32278.24798386724
2009-04-30,3552.6428055534166,7349.418124998027,8537.681211109306,30176.039611107317
2009-05-31,3539.468467739798,7123.1516935459,8199.389768815348,29781.370873652355
2009-06-30,3623.4573333314165,7095.800249997556,8260.602627775834,29069.17641666257
2009-07-31,3568.449274191909,7212.787688169194,8199.565537631626,30106.695806447944
2009-08-31,3587.1580510740055,7328.162836018951,7984.502849458683,30694.90920698567
2009-09-30,3635.3282361092643,7744.086458330973,8046.300611107222,31984.109756662525
2009-10-31,3614.9475504698253,7946.164764465814,8187.258761772893,31971.31760430288
2009-11-30,3651.675847220875,7959.13020833082,8724.038499996472,33636.32336110743
2009-12-31,3660.20676075129,7999.652983868521,8581.274771501936,32458.137284942863
2010-01-31,3713.622002530309,7971.630215051411,8879.471514447338,33450.034816942825
2010-02-28,3806.7671726168155,8289.274806545223,9597.293831841742,34947.73824404419
2010-03-31,3907.495739244798,8579.176626341572,9445.447244620296,34749.56596773804
2010-04-30,3839.546291664417,8174.594040275541,8620.737694440819,32848.22912499642
2010-05-31,3887.544516126505,8312.158878054555,8235.424758061412,32201.114758060645
2010-06-30,3792.419999998625,8008.553986108584,8465.889583329987,31855.411347218946
2010-07-31,3777.026196234812,7846.887876341882,8587.488440856585,32437.610376340177
2010-08-31,3861.2847042997446,7746.280053761076,8578.795268813521,32644.578198920957
2010-09-30,3938.0152916649167,8001.389124997791,8584.625958329958,33859.60874999671
2010-10-31,3902.4188021517766,8372.58201883961,8532.602611032504,33043.93594885194
2010-11-30,3902.7764861096803,8321.022444442237,9048.863063886236,33024.020694440434
2010-12-31,3851.7877150525806,8088.36200268586,9124.17915322215,34271.9938306411
2011-01-31,3793.574448922218,7974.057432793387,9772.791720426854,34806.30723117903
2011-02-28,3863.9230952356397,8087.9362648787055,9969.08660713927,37069.75654940087
2011-03-31,3938.3556989219755,8291.748857524772,9624.79728494254,34865.86144237439
2011-04-30,4035.8855277755692,8203.18718055343,8916.479555552083,34864.4280277737
2011-05-31,4098.871451610887,8002.6382795676345,8847.44869623305,33298.77739246977
2011-06-30,4034.109388886361,7924.340652775555,8890.49373610768,32560.9232222186
2011-07-31,3941.898454299341,7866.233696234342,8996.588965050496,33046.841532254184
