Data,NIN 1.2_sst,NIN 3_sst,NIN 3.4_sst,NIN 4_1_sst,NIN 4_2_sst
01/01/2000,296.47656,296.71484,297.8374,301.82373,299.24365
02/01/2000,296.51294,296.71704,297.82104,301.85815,299.23315
03/01/2000,296.5376,296.7588,297.8208,301.8794,299.23584
04/01/2000,296.5957,296.7998,297.84473,301.8672,299.25098
05/01/2000,296.65308,296.8562,297.89038,301.8269,299.27026
06/01/2000,296.7334,296.92236,297.94873,301.75732,299.271
07/01/2000,296.8335,296.9961,298.0005,301.68408,299.25244
08/01/2000,296.91455,297.06396,298.0083,301.60205,299.21436
09/01/2000,296.97925,297.11792,297.98462,301.54126,299.17212
10/01/2000,297.0288,297.13135,297.95068,301.5083,299.1294
11/01/2000,297.06274,297.135,297.91382,301.48218,299.0974
12/01/2000,297.1228,297.12622,297.89087,301.47485,299.06763
13/01/2000,297.21118,297.11694,297.88647,301.4724,299.0398
14/01/2000,297.30273,297.11768,297.90674,301.49463,299.0171
15/01/2000,297.32983,297.14624,297.90405,301.52417,299.01245
16/01/2000,297.34473,297.16602,297.89648,301.55762,299.01758
17/01/2000,297.33594,297.1836,297.896,301.5835,299.0415
18/01/2000,297.2522,297.1643,297.87817,301.57153,299.08618
19/01/2000,297.18018,297.1167,297.86768,301.53662,299.1294
20/01/2000,297.11353,297.08618,297.84497,301.4973,299.16724
21/01/2000,297.08862,297.06372,297.83667,301.46362,299.19214
22/01/2000,297.10132,297.0598,297.84155,301.4187,299.20483
23/01/2000,297.2063,297.09595,297.82788,301.37378,299.20288
24/01/2000,297.3838,297.1455,297.83105,301.34766,299.19043
25/01/2000,297.58228,297.1985,297.83423,301.3391,299.16626
26/01/2000,297.92505,297.2727,297.8557,301.3606,299.1272
27/01/2000,298.21777,297.38965,297.8745,301.37354,299.06592
28/01/2000,298.48096,297.5786,297.89355,301.36133,298.97852
29/01/2000,298.65845,297.74194,297.91187,301.3435,298.8933
30/01/2000,298.75732,297.83838,297.93115,301.32275,298.8501
31/01/2000,298.7942,297.89526,297.9568,301.31128,298.81128
01/02/2000,298.85254,297.96338,297.98975,301.30518,298.78564
02/02/2000,298.9629,298.10498,298.0293,301.28516,298.76172
03/02/2000,299.10962,298.2859,298.06323,301.27612,298.75854
04/02/2000,299.20312,298.3911,298.07373,301.26904,298.771
05/02/2000,299.2583,298.46582,298.0786,301.24658,298.81104
06/02/2000,299.26538,298.5227,298.08276,301.2058,298.84644
07/02/2000,299.21558,298.5232,298.1062,301.14722,298.88843
08/02/2000,299.0935,298.5056,298.1267,301.09448,298.92456
09/02/2000,298.96045,298.45068,298.1421,301.06982,298.94287
10/02/2000,298.81177,298.40112,298.16187,301.0652,298.9392
11/02/2000,298.71655,298.35474,298.17456,301.04272,298.94507
